date,idk,open,high,low,close,volume
20010102,0,43.3079,44.8812,42.9493,43.8134,9821969.454
20010103,0,43.6096,47.889,43.1531,47.3836,23507968.456
20010104,0,46.4625,47.4325,45.5495,45.6963,16454517.031
20010105,0,46.5685,46.5685,43.4057,44.0171,11551139.503
20010108,0,43.202,44.6774,43.1042,43.9193,9698431.098
20010109,0,43.6096,44.6285,42.7944,42.9982,8330801.618
20010110,0,41.5228,42.4357,41.1641,42.0282,11624745.437
20010111,0,42.3379,43.202,41.4168,42.5417,7730038.696
20010112,0,42.3868,43.8134,42.0853,43.1531,8378400.603
20010116,0,43.5606,44.6774,43.3568,44.5796,9318369.544
20010117,0,44.4735,44.5306,43.6585,43.9682,8400360.60399999
20010118,0,43.5606,44.4246,43.1531,43.3079,7762919.325
20010119,0,42.4357,42.9493,41.1152,41.4168,10327164.566
20010122,0,42.5417,43.7645,42.3868,42.9004,8505619.394
20010123,0,43.202,43.9682,42.8433,43.4546,5613322.804
20010124,0,43.5606,43.7155,42.6396,43.7155,9128461.18
20010125,0,43.9682,45.7534,43.1531,44.066,10621346.717
20010126,0,44.7834,44.7834,43.2509,43.6585,5992649.424
20010129,0,43.7726,44.547,43.7726,44.2372,5976823.897
20010130,0,44.1883,44.2209,43.3324,43.7971,5999765.447
20010131,0,44.1801,46.4625,44.0497,46.4299,12277033.453
20010201,0,46.2995,46.2995,44.4002,44.9871,10863151.334
20010202,0,45.623,45.6311,44.1394,44.5878,5793173.87400001
20010205,0,44.8323,45.0116,43.4465,43.8786,6292602.206
20010206,0,43.528,44.4165,43.0797,43.422,6186852.23
20010207,0,43.3731,44.4246,43.365,44.4246,5571492.181
20010208,0,44.4654,44.6693,42.0282,42.7129,9254087.753
20010209,0,42.6396,43.4872,40.9441,41.1234,9277271.016
20010212,0,41.5718,43.5933,41.5391,43.3161,8394594.61100001
20010213,0,43.2427,44.4002,42.4113,43.846,8394101.561
20010214,0,44.3024,44.3024,43.202,43.3568,5534687.42
20010215,0,43.4872,43.5688,42.1016,42.3868,8355459.69
20010216,0,42.2238,43.4465,42.0282,42.664,7208837.281
20010220,0,42.5499,44.2535,42.3868,43.528,10817349.659
20010221,0,42.8352,43.1694,40.7974,40.7974,9401056.094
20010222,0,41.5718,41.5718,39.9007,40.512,10419054.613
20010223,0,40.7566,41.4087,39.1671,41.0093,9507543.463
20010226,0,41.5146,41.8733,41.0745,41.6207,6816811.235
20010227,0,42.0608,42.2646,40.3653,41.5636,8267864.785
20010228,0,41.7674,41.8163,39.9741,40.7729,8404040.189
20010301,0,40.1452,40.6507,39.1263,39.4279,10111985.024
20010302,0,39.1182,40.5039,38.7188,39.8681,7388989.46000001
20010305,0,39.8926,40.3816,39.1263,39.4279,5172415.082
20010306,0,40.349,40.724,39.86,40.2186,5841017.568
20010307,0,40.7974,41.5309,40.6914,41.1641,6137166.082
20010308,0,42.3053,42.3053,41.3924,41.9956,6714742.04600001
20010309,0,42.2238,42.2238,40.8381,41.3353,5656386.51600001
20010312,0,40.9604,40.9604,39.2078,39.3464,6578447.134
20010313,0,39.9415,40.186,38.3193,39.754,9344379.652
20010314,0,38.3927,39.1019,37.9281,38.4008,10102170.641
20010315,0,38.5965,39.5258,37.9525,38.9959,8672219.79
20010316,0,39.0041,39.0041,37.9525,38.2623,13929282.354
20010319,0,38.303,38.8818,38.0667,38.5639,6653526.028
20010320,0,38.6128,40.3327,38.6128,39.0448,11842133.71
20010321,0,39.0204,40.6285,38.5958,39.4775,9824639.91199995
20010322,0,38.5714,38.6938,37.4775,38.3428,13788619.6759999
20010323,0,37.4285,39.1101,36.8979,38.8571,9665388.17299996
20010326,0,39.9183,40.6529,39.4285,40.4081,7993995.48099996
20010327,0,40.4897,41.1428,40.1224,40.9959,11342906.155
20010328,0,40.8163,40.9224,39.4285,40.457,7984317.28499996
20010329,0,40.6938,41.3468,39.453,41.3142,8476035.34699996
20010330,0,41.7142,41.8285,40.4081,41.1265,8717727.98199996
20010402,0,40.8163,41.6163,40.4897,41.2815,8104367.86299997
20010403,0,41.5101,41.6326,39.8122,40.1224,10077723.338
20010404,0,39.7714,41.1428,39.755,40.6366,9066852.26399996
20010405,0,41.2652,41.3795,40.8163,41.2244,8947904.09299996
20010406,0,40.8163,41.8938,40.4163,41.7551,8617642.36699997
20010409,0,42.0816,42.2775,40.6448,41.0367,8290078.74799997
20010410,0,41.7551,42.155,41.4448,41.5101,8170886.78599996
20010411,0,40.8979,41.3877,40.2122,41.004,8072763.91599996
20010412,0,39.7958,40.4897,38.6938,40.4326,11228739.1019999
20010416,0,40.5713,40.9959,39.7632,40.0489,7276757.91599997
20010417,0,39.9265,40.3591,39.5509,40.1877,6644288.01699997
20010418,0,40.7754,43.2163,40.5142,43.0693,13941133.9129999
20010419,0,42.2285,43.0367,42.204,42.7918,7577126.74099997
20010420,0,42.8489,42.8489,41.9591,42.2775,8139518.99699996
20010423,0,42.4897,43.0204,42.1632,42.3265,6358862.15499997
20010424,0,41.4285,41.7061,40.8571,40.9224,8991268.82099996
20010425,0,41.7142,41.7142,40.8163,41.5917,5709122.32799997
20010426,0,41.6326,42.1224,41.2652,41.7795,5797935.74499998
20010427,0,42.5305,43.4612,42.3672,43.151,8657089.80699996
20010430,0,43.5101,43.5101,41.8122,42.2448,7164547.70899997
20010501,0,42.2203,43.7143,41.9591,43.6,8183746.96499996
20010502,0,43.6326,43.6326,42.6775,43.2979,8820382.07399996
20010503,0,42.6939,43.6326,42.4734,43.3876,8872321.73499996
20010504,0,42.6939,43.8366,42.4571,43.3387,8645326.96899996
20010507,0,42.7755,43.2163,42.3265,42.5061,5438642.82799998
20010508,0,42.2448,42.4325,41.7469,42.3346,5093680.41499997
20010509,0,42.4897,42.6121,41.8775,42.0734,4794902.08799998
20010510,0,43.5101,43.8366,43.4285,43.6326,9464853.40799995
20010511,0,44.0571,44.457,43.5509,44.0897,7529107.15999996
20010514,0,44.1632,44.6938,43.9509,44.4407,5226784.674
20010515,0,44.3673,44.3673,42.4897,42.5061,14672411.176
20010516,0,41.7958,42.5468,41.6326,42.2693,11192966.677
20010517,0,42.4081,42.6286,41.8775,42.3102,7556546.94699997
20010518,0,42.4081,42.4489,41.9673,42.4489,6644786.99499996
20010521,0,42.4815,43.5101,42.0897,43.4448,9047863.81199997
20010522,0,43.4366,43.8366,43.1836,43.6081,7820169.78599996
20010523,0,43.5101,43.9591,42.6203,42.9061,6348818.33499997
20010524,0,42.7346,43.4612,42.5714,43.0611,4940187.45299997
20010525,0,43.2489,43.2653,41.7958,41.8367,5980091.87399997
20010529,0,42.4081,42.4081,41.6571,41.7795,5651792.40599997
20010530,0,41.8122,42.6121,41.7305,42.0326,6726853.44399996
20010531,0,42.5305,42.9387,41.853,42.3509,6523380.12499997
20010601,0,42.0734,42.8162,42,42.3102,4857746.05099998
20010604,0,42.0816,42.1306,41.2244,41.5917,6287567.62999997
20010605,0,41.4204,42.155,41.3795,41.8775,6119989.66599998
20010606,0,41.8775,42.2122,41.4693,41.4774,4735735.16199998
20010607,0,40.8734,41.9183,40.8734,41.6326,6987657.65299997
20010608,0,41.6326,41.853,41.4285,41.7224,4339448.37399999
20010611,0,41.5917,41.7142,40.9469,41.0449,3655774.25199999
20010612,0,40.8326,41.608,40.4979,41.4285,5092334.32699998
20010613,0,41.3061,41.3061,40.8653,41.0203,3776190.79599999
20010614,0,40.7346,41.1102,40.3264,40.4244,4613601.94699999
20010615,0,40.3264,40.5959,39.1836,39.1836,13997856.0849999
20010618,0,39.8367,40.4816,39.4693,39.6244,8144057.15099996
20010619,0,40.3836,40.4,39.6978,39.8775,6041832.73799997
20010620,0,40.2209,40.7931,40.041,40.6786,6684551.732
20010621,0,40.3026,41.8313,40.3026,41.1855,9393800.507
20010622,0,41.4307,41.488,40.4252,40.8258,5236351.055
20010625,0,41.3245,41.3245,39.8939,40.0737,6634277.557
20010626,0,39.6895,40.7113,39.6731,40.1963,6742048.19600001
20010627,0,40.0737,40.6459,39.4442,39.7058,5669746.9
20010628,0,40.0165,40.7031,40.0165,40.3598,5859961.781
20010629,0,40.1636,41.2754,39.7303,39.7957,7909145.33000001
20010702,0,40.0165,40.6786,39.7712,40.6132,6172990.805
20010703,0,40.6296,40.6296,40.0083,40.2372,4528826.882
20010705,0,40.3434,40.368,39.6077,39.6485,5516840.391
20010706,0,39.6895,39.6976,38.1852,38.7493,7261193.32800001
20010709,0,38.8147,39.5668,38.4632,39.4606,6816296.28600001
20010710,0,39.6485,39.7876,38.733,38.7493,7459969.656
20010711,0,39.3625,40.3844,38.9292,39.853,9179610.89699999
20010712,0,41.3245,42.3464,40.834,42.1092,13231735.622
20010713,0,42.3872,43.5154,41.7986,43.1475,11279190.86
20010716,0,43.6543,44.1857,43.4173,43.638,13067577.933
20010717,0,44.014,44.0222,43.2783,43.5317,10138633.318
20010718,0,43.2211,44.1203,42.9431,44.104,8111226.664
20010719,0,44.1284,44.5536,43.9895,44.292,9431353.84000001
20010720,0,44.1448,44.6271,44.063,44.3901,6804189.24500001
20010723,0,44.063,44.3655,43.2047,43.3764,6149015.857
20010724,0,43.3682,43.4908,42.9186,43.3028,7069875.549
20010725,0,43.4091,45.0441,43.1066,45.0359,10753928.292
20010726,0,45.0441,45.3792,44.2265,45.3711,9810557.99600001
20010727,0,45.5755,45.7798,44.9705,45.3629,5855438.96799999
20010730,0,45.7798,45.8207,44.3001,45.6327,8414955.527
20010731,0,45.3874,46.1885,45.2893,45.6817,8113548.78900001
20010801,0,45.2893,46.4093,44.9214,44.9705,7006022.14600001
20010802,0,45.322,45.9025,45.0032,45.7635,6333235.271
20010803,0,45.6981,45.7553,45.0032,45.3138,4818246.842
20010806,0,45.4365,45.4365,44.1938,44.5536,6588039.56
20010807,0,44.7008,45.1912,44.2674,45.0032,5947912.534
20010808,0,44.6354,45.6736,44.4719,44.57,7158071.628
20010809,0,44.4882,44.7906,43.5726,44.2756,9696551.48
20010810,0,44.104,44.1448,42.9186,43.8178,9388906.73699999
20010813,0,43.777,43.9568,42.3464,42.7469,11299573.436
20010814,0,41.8967,43.0821,41.7986,42.7959,10804272.655
20010815,0,42.7714,43.2619,42.3627,42.6161,6610425.232
20010816,0,42.1175,42.6733,41.4226,42.2727,7296544.054
20010817,0,42.1011,42.1011,40.9566,41.5288,6616661.54500001
20010820,0,41.9375,42.1992,41.5288,42.1092,4782405.688
20010821,0,42.0194,42.1992,40.7767,40.8094,7512443.551
20010822,0,40.8831,41.3163,40.4742,41.0383,6769445.055
20010823,0,40.9158,41.2264,40.4661,40.7113,5346199.741
20010824,0,40.5887,41.6923,40.5887,41.4553,8087005.445
20010827,0,41.8558,42.1011,41.2018,41.2999,5057023.434
20010828,0,40.7931,41.0383,40.6296,40.8912,7071345.483
20010829,0,40.9158,41.2182,40.0574,40.278,5962225.817
20010830,0,40.1391,40.4415,38.6185,38.9782,10881388.321
20010831,0,38.9946,40.0574,38.9946,39.2889,7819969.852
20010904,0,39.4279,40.7767,39.4115,39.6077,8575812.655
20010905,0,39.5014,40.3434,38.4224,40.1391,11545612.742
20010906,0,40.0165,40.5969,38.4224,38.733,12151488.02
20010907,0,38.3406,38.3406,36.8854,37.7684,11570443.397
20010910,0,37.1961,38.4224,36.82,37.8011,7947555.18
20010917,0,35.9699,37.6866,35.6265,36.068,20067000.08
20010918,0,36.7873,37.891,36.1007,37.0326,11939375.83
20010919,0,37.0735,37.7285,36.181,37.27,13793527.3
20010920,0,37.1308,37.6139,36.8524,37.1718,14183747.57
20010921,0,36.1483,37.622,33.9786,36.5659,18043733.14
20010924,0,38.0724,39.2842,37.6712,38.6865,15948244.545
20010925,0,39.4643,40.2012,39.3006,39.7263,17850387.605
20010926,0,40.4058,40.4878,39.8082,40.4386,13881587.914
20010927,0,40.5123,40.6843,39.3906,40.3158,10710453.647
20010928,0,40.4878,40.8971,39.9637,40.4468,9991195.709
20011001,0,40.5287,40.979,39.4152,40.7579,13453866.451
20011002,0,40.979,42.2481,40.7743,42.1499,12564840.72
20011003,0,42.4855,43.7792,42.1662,43.1487,16021890.68
20011004,0,43.2306,43.3533,42.0025,42.1907,11994832.82
20011005,0,42.1826,42.8621,41.7568,42.813,10545203
20011008,0,42.9112,42.9112,41.724,41.8714,7443443.959
20011009,0,42.1662,42.7393,41.7568,42.6411,9288303.9
20011010,0,42.8457,43.9183,42.7393,43.8692,11081622.73
20011011,0,44.1722,44.8272,43.2715,43.8037,14164332.596
20011012,0,43.2715,43.3943,42.4118,43.247,12368081.96
20011015,0,43.0832,43.7792,42.9112,43.6399,6825437.329
20011016,0,43.7873,44.2131,42.985,43.5581,7720324.13300001
20011017,0,43.5991,44.0002,42.6984,42.8294,7711775.379
20011018,0,42.8457,43.2306,42.1007,42.5101,8939730.80800001
20011019,0,42.6984,43.4517,42.1826,43.3206,6612186.638
20011022,0,43.2306,43.8856,42.6411,43.4598,7003510.616
20011023,0,43.4271,43.8447,42.6984,43.116,6934748.011
20011024,0,43.3697,43.5499,42.9276,43.0095,6054393.084
20011025,0,42.4118,43.5581,42.1744,43.5499,7741576.746
20011026,0,43.5172,44.0657,42.985,43.7709,5866548.142
20011029,0,43.3125,43.4435,42.3381,42.5428,6770231.683
20011030,0,42.1662,42.3709,41.2328,41.4375,7838184.82799999
20011031,0,41.5111,42.8376,41.4703,42.2399,7566677.575
20011101,0,41.9205,43.3533,41.6421,42.7639,9658863.89400001
20011102,0,42.4118,43.5417,42.3791,43.2715,6779390.399
20011105,0,43.5172,44.4587,42.8948,44.1312,7725822.04599999
20011106,0,44.254,45.1138,43.9266,44.9909,9260458.98
20011107,0,44.909,45.0237,43.7218,44.0576,9452211.16
20011108,0,44.7043,45.3594,44.2049,44.6716,9739227.275
20011109,0,44.6634,45.2365,44.123,45.1383,5953998.6
20011112,0,44.6634,45.5886,44.2131,45.433,6641306.576
20011113,0,45.7688,45.8096,44.4178,45.0155,12288874.14
20011114,0,45.5231,45.6869,45.0728,45.2202,11280095.294
20011115,0,45.5068,46.0471,45.2611,45.826,9425950.588
20011116,0,45.8506,45.8506,44.7453,45.0728,11395268.377
20011119,0,44.7043,45.736,44.7043,45.5968,9089710.23999999
20011120,0,45.605,45.8343,45.1219,45.605,7203202.522
20011121,0,45.4576,45.5313,44.9009,45.1629,5746119.637
20011123,0,45.0892,45.7278,45.081,45.7114,2743902.068
20011126,0,45.605,45.867,45.2775,45.6705,8752005.127
20011127,0,45.4821,45.695,44.8927,45.1383,11185929.53
20011128,0,44.95,45.6541,44.6061,45.0892,8653198.831
20011129,0,45.1138,45.2693,44.6224,45.0155,6091156.352
20011130,0,45.0319,45.7688,44.95,45.2038,8762998.33
20011203,0,45.081,45.2202,44.3604,44.7453,8728312.06000001
20011204,0,44.5406,45.1629,44.3768,45.1465,7735102.685
20011205,0,45.171,46.3091,44.9828,46.2272,10060446.89
20011206,0,45.8096,45.8424,45.4085,45.5395,8239034.89
20011207,0,45.2038,45.5231,44.8272,45.3103,5156084.643
20011210,0,45.1138,45.3594,44.5406,44.5652,6019217.543
20011211,0,44.3113,44.868,43.6646,44.3032,6779024.043
20011212,0,44.2294,44.7862,43.8037,44.3523,6584094.799
20011213,0,44.2786,44.2868,43.4762,43.7054,8526541.313
